timesteps,reward,episode_length
1024,0.0,128
1152,0.0,144
1392,1.0,174
1488,2.0,186
1552,1.0,194
1600,2.0,200
1648,2.0,206
1864,3.0,233
2688,0.0,136
2744,2.0,199
3312,2.0,208
3344,3.0,244
3448,3.0,245
3528,2.0,208
3544,4.0,315
3664,3.0,264
4384,2.0,212
4472,2.0,216
4648,0.0,140
4680,0.0,127
4792,1.0,185
4928,1.0,198
5168,2.0,203
5464,3.0,252
5464,0.0,135
5896,0.0,152
6080,1.0,161
6320,2.0,231
6384,2.0,217
6512,0.0,168
6712,0.0,156
6744,1.0,160
7152,3.0,278
7392,0.0,134
7440,0.0,132
7616,0.0,138
7648,2.0,219
7720,2.0,205
7864,0.0,140
8144,0.0,124
8480,0.0,130
8600,2.0,236
8648,1.0,157
8768,0.0,131
8992,1.0,168
9128,1.0,189
9536,2.0,209
9624,0.0,128
10016,1.0,156
10032,0.0,130
10352,2.0,234
10376,3.0,279
10600,0.0,133
10616,1.0,186
10952,4.0,288
11240,2.0,202
11288,0.0,157
12392,1.0,297
12568,2.0,246
12624,2.0,251
12744,0.0,182
12776,1.0,300
12936,3.0,323
13112,2.0,234
13320,3.0,296
14312,0.0,196
14744,3.0,265
14824,4.0,304
14920,2.0,268
15280,2.0,339
15360,2.0,303
15536,3.0,303
16056,0.0,142
16088,3.0,346
16440,0.0,202
16496,1.0,152
17000,1.0,205
17128,0.0,130
17544,0.0,131
17896,2.0,394
17920,3.0,451
18096,0.0,137
18112,3.0,322
18120,1.0,210
18528,0.0,309
19224,1.0,262
19376,0.0,160
19536,1.0,205
19584,2.0,184
19664,1.0,193
19848,1.0,165
20264,3.0,340
20584,0.0,333
20624,1.0,175
20848,2.0,184
20880,0.0,129
21224,1.0,195
21472,2.0,236
21640,0.0,132
21768,2.0,188
21848,4.0,289
22000,0.0,172
22136,1.0,161
22672,0.0,150
22696,2.0,227
22696,0.0,132
22888,0.0,130
22888,0.0,140
22992,2.0,221
23240,0.0,138
23248,1.0,156
23784,0.0,136
24008,1.0,167
24232,0.0,155
24240,1.0,169
24288,1.0,175
24600,3.0,238
24784,2.0,192
24992,1.0,151
24992,2.0,219
25136,0.0,141
25216,0.0,122
25288,0.0,132
25424,0.0,142
25608,0.0,126
25816,0.0,129
25976,0.0,123
26440,0.0,127
26488,1.0,150
26664,0.0,132
26680,2.0,183
26688,3.0,212
26800,2.0,208
27016,1.0,150
27368,1.0,174
27648,1.0,151
27704,1.0,152
27736,0.0,131
27752,0.0,136
27800,0.0,140
27816,0.0,127
28264,1.0,156
28456,0.0,136
28744,0.0,130
28784,0.0,123
29024,0.0,151
29104,2.0,182
29168,1.0,177
29208,2.0,184
29304,0.0,130
29440,0.0,123
30096,1.0,169
30120,1.0,167
30296,0.0,124
30336,1.0,164
30352,1.0,156
30600,0.0,145
30728,2.0,195
31560,0.0,183
31576,0.0,182
31584,1.0,154
31816,0.0,152
31824,1.0,186
31920,5.0,339
31944,1.0,152
32232,3.0,242
32760,0.0,147
32776,0.0,152
32840,0.0,128
32992,0.0,131
33304,1.0,173
33424,2.0,200
33672,1.0,180
33768,0.0,124
33768,1.0,274
34032,0.0,149
34032,0.0,130
34224,1.0,183
34392,0.0,136
34648,1.0,153
34760,0.0,124
35016,0.0,123
35016,0.0,123
35208,0.0,123
35472,2.0,213
35496,2.0,228
35672,0.0,128
35768,0.0,126
36040,0.0,128
36272,1.0,157
36296,1.0,238
36768,0.0,125
36784,1.0,161
36912,1.0,155
37024,2.0,194
37496,1.0,153
37512,3.0,288
37520,1.0,153
37912,0.0,125
37960,0.0,149
38080,3.0,255
38504,1.0,185
38608,2.0,228
38736,1.0,155
38912,0.0,125
38960,0.0,125
39080,0.0,125
39080,1.0,195
39592,0.0,136
39640,3.0,266
39840,1.0,154
40328,2.0,199
40456,1.0,193
40544,2.0,198
40784,2.0,213
41056,2.0,183
41184,3.0,263
41248,2.0,201
41264,1.0,178
42024,1.0,196
42088,0.0,163
42416,3.0,234
42608,1.0,178
42776,2.0,215
42912,1.0,206
43032,5.0,338
43144,2.0,237
43632,2.0,201
43680,2.0,199
43952,0.0,147
44008,2.0,199
44400,0.0,157
44896,3.0,248
45008,3.0,247
45192,3.0,323
45288,2.0,207
45944,3.0,283
46056,1.0,207
46192,3.0,273
46328,2.0,179
46536,0.0,168
47096,3.0,226
47272,3.0,415
47360,2.0,294
47512,2.0,182
47856,2.0,208
47952,0.0,203
47984,0.0,181
48208,3.0,283
48544,0.0,148
48928,0.0,134
48936,3.0,230
49168,2.0,207
49336,1.0,169
49864,2.0,207
50144,2.0,200
50376,1.0,181
50584,2.0,206
50648,3.0,337
50848,2.0,210
50944,1.0,201
51000,6.0,466
51424,1.0,195
51688,1.0,193
52400,3.0,253
52496,2.0,231
52624,0.0,255
52832,3.0,248
52848,2.0,231
53312,2.0,203
53544,3.0,265
53992,2.0,199
54104,2.0,201
54208,2.0,198
54512,0.0,150
55064,3.0,515
55336,0.0,168
55392,2.0,231
55552,3.0,340
55840,2.0,204
56064,0.0,194
56152,2.0,256
56968,1.0,177
57008,2.0,202
57024,3.0,522
57024,0.0,245
57320,0.0,157
57392,3.0,257
57784,3.0,243
58184,3.0,254
58536,1.0,189
58536,1.0,189
58568,2.0,200
58744,3.0,217
58936,0.0,144
58976,2.0,207
58976,2.0,198
59496,1.0,164
60248,1.0,188
60400,1.0,229
60600,3.0,258
60720,2.0,218
61096,3.0,270
61376,4.0,300
61536,3.0,375
61960,1.0,214
62056,2.0,207
62096,1.0,187
62256,6.0,345
62640,0.0,240
63128,2.0,254
63176,1.0,225
63768,3.0,226
63832,1.0,217
63864,4.0,291
63944,2.0,211
64416,2.0,222
64680,4.0,328
64952,3.0,228
65208,1.0,172
65368,1.0,188
65552,2.0,201
65592,3.0,302
66040,1.0,170
66152,4.0,298
66384,3.0,246
66632,2.0,210
67184,2.0,227
67312,0.0,145
67408,1.0,227
67704,0.0,134
67704,1.0,208
67952,1.0,343
68160,2.0,222
68304,4.0,344
68784,1.0,172
68816,2.0,204
69128,1.0,178
69336,0.0,147
69376,3.0,258
69408,0.0,138
69552,2.0,200
69576,3.0,234
69936,0.0,144
70760,2.0,204
70800,2.0,248
70832,1.0,160
70960,2.0,203
71000,2.0,203
71088,1.0,189
71224,3.0,227
71352,1.0,177
72368,2.0,201
72576,2.0,197
73048,2.0,212
73104,3.0,268
73304,2.0,260
73400,3.0,325
73416,4.0,323
73704,0.0,167
74056,2.0,371
74248,0.0,150
74952,1.0,192
75208,2.0,263
75248,2.0,243
75280,0.0,197
75488,2.0,261
75856,0.0,201
75984,1.0,241
76664,1.0,511
76904,2.0,212
77032,1.0,223
77384,2.0,304
77424,3.0,268
77640,2.0,207
77648,2.0,270
77880,3.0,253
78288,1.0,203
79032,3.0,266
79128,1.0,185
79304,2.0,240
79704,2.0,285
80096,4.0,307
80184,2.0,237
80424,4.0,318
80632,2.0,188
81136,3.0,263
81136,2.0,229
81320,4.0,536
82248,2.0,228
82248,3.0,318
82248,1.0,202
82304,3.0,265
82640,1.0,188
82696,4.0,325
82864,1.0,216
82888,1.0,196
84296,2.0,256
84312,1.0,202
84552,3.0,281
84616,3.0,296
84880,4.0,329
85176,2.0,317
85304,2.0,305
85440,3.0,319
86168,2.0,234
86560,2.0,243
86840,4.0,286
86992,3.0,264
87176,4.0,358
87216,2.0,222
87496,2.0,274
87496,1.0,166
87528,0.0,294
88392,2.0,229
88664,2.0,228
88984,3.0,249
89040,2.0,233
89192,0.0,212
89648,3.0,304
90056,4.0,316
90152,4.0,332
90424,1.0,254
90488,1.0,181
90720,3.0,257
90944,2.0,245
91344,0.0,161
91512,4.0,290
91608,3.0,245
91992,1.0,188
92456,3.0,288
92480,3.0,257
92736,2.0,252
93096,1.0,198
93328,4.0,298
93344,2.0,250
93768,2.0,270
94024,2.0,254
94280,1.0,225
94280,1.0,228
94648,1.0,194
94736,0.0,176
94984,2.0,205
95104,4.0,296
95176,0.0,176
95592,0.0,196
95856,1.0,197
96096,1.0,227
96176,1.0,180
96472,0.0,162
96912,1.0,241
97456,1.0,160
97480,2.0,236
97488,4.0,298
97520,2.0,208
97888,1.0,177
98008,0.0,137
98384,4.0,467
98448,4.0,294
99248,0.0,220
99288,2.0,221
99440,1.0,194
99472,1.0,249
99720,1.0,167
99920,1.0,184
