timesteps,reward,episode_length
1144,0.0,143
1496,1.0,187
1512,1.0,189
1752,2.0,219
1928,3.0,241
2240,0.0,137
2408,4.0,301
2536,4.0,317
2704,5.0,338
2792,1.0,160
2832,0.0,135
2872,1.0,172
3168,0.0,155
3304,0.0,133
3688,0.0,144
4080,1.0,161
4160,2.0,219
4280,1.0,176
4336,0.0,129
4792,2.0,203
4848,3.0,252
4992,1.0,163
5112,0.0,129
5376,5.0,334
5416,0.0,142
5736,1.0,197
5832,0.0,130
6344,3.0,251
6616,2.0,221
6640,2.0,191
6880,0.0,131
7072,1.0,167
7104,2.0,211
7248,3.0,282
7456,3.0,260
7776,1.0,179
8328,2.0,211
8368,2.0,219
8368,2.0,186
8432,1.0,170
8632,0.0,147
8928,2.0,228
9080,2.0,229
9384,2.0,201
9400,0.0,129
9488,0.0,140
9768,1.0,180
9936,1.0,188
10104,2.0,184
10192,1.0,158
10944,1.0,195
11016,1.0,202
11048,0.0,160
11264,3.0,273
11568,1.0,172
11648,3.0,270
11656,1.0,194
12264,0.0,165
12440,3.0,313
12448,1.0,175
12912,1.0,168
13064,2.0,225
13448,0.0,125
13544,3.0,316
14032,1.0,199
14032,3.0,297
14112,3.0,308
14304,1.0,174
14712,3.0,306
14800,2.0,217
15320,0.0,127
15384,2.0,230
15840,2.0,226
15840,2.0,226
15896,3.0,306
16360,2.0,206
16472,3.0,295
16784,3.0,248
16888,1.0,196
17344,0.0,123
17648,0.0,147
17816,3.0,247
17936,3.0,255
18360,5.0,372
18504,0.0,145
18624,1.0,217
18744,0.0,137
18896,5.0,382
19040,0.0,153
19176,4.0,299
19240,0.0,163
19928,1.0,178
20408,3.0,256
20608,2.0,214
20776,3.0,254
20904,3.0,285
20936,2.0,220
21128,3.0,261
21240,1.0,164
21248,3.0,251
21824,0.0,152
21888,0.0,139
22144,0.0,127
22344,1.0,180
22784,2.0,231
22896,4.0,311
23072,1.0,156
23168,2.0,241
23392,1.0,188
23688,0.0,168
24208,5.0,370
24400,2.0,202
24688,4.0,318
24992,2.0,262
24992,2.0,228
25096,2.0,253
25784,0.0,137
25848,0.0,205
26040,2.0,205
26064,0.0,134
26104,0.0,126
26144,4.0,307
26456,4.0,383
27192,4.0,275
27408,1.0,158
27536,0.0,179
27672,3.0,236
27680,2.0,229
27776,2.0,214
27816,2.0,222
28544,0.0,126
28792,1.0,173
29032,1.0,170
29080,1.0,175
29288,5.0,354
29320,3.0,266
29856,0.0,133
30008,3.0,279
30256,0.0,147
30320,4.0,313
30544,0.0,153
30648,3.0,263
30824,2.0,224
31168,2.0,235
31288,1.0,179
31600,1.0,199
31672,0.0,141
31888,1.0,155
32280,3.0,245
32440,2.0,202
32552,3.0,287
33120,3.0,229
33256,3.0,261
33288,2.0,202
33792,3.0,274
34272,2.0,249
34304,4.0,302
34464,3.0,239
34616,3.0,272
35080,2.0,224
35320,3.0,258
35664,4.0,318
35728,0.0,139
35944,2.0,209
36032,3.0,216
36120,3.0,291
36248,2.0,223
36336,1.0,157
36752,1.0,179
36872,0.0,143
37064,1.0,175
37288,0.0,130
37528,0.0,149
37688,2.0,196
37872,0.0,140
38088,3.0,257
38456,2.0,198
38472,3.0,316
38624,0.0,137
38920,0.0,154
39024,2.0,217
39072,2.0,251
39504,1.0,177
39712,1.0,157
40272,2.0,300
40408,2.0,223
40728,0.0,153
40872,2.0,244
41104,3.0,329
41272,0.0,125
41400,1.0,211
41408,4.0,298
41600,4.0,316
41912,2.0,188
42272,1.0,175
42528,1.0,157
42648,1.0,155
42720,3.0,249
42896,1.0,162
42912,0.0,125
43088,3.0,248
43216,3.0,227
44344,2.0,227
44504,2.0,201
44728,3.0,260
44776,2.0,211
44784,2.0,234
44896,3.0,272
45048,4.0,347
45288,3.0,259
45880,0.0,123
45896,0.0,139
46168,1.0,208
46224,1.0,181
46424,2.0,212
46448,3.0,263
46880,2.0,199
47896,5.0,356
47992,3.0,264
48040,3.0,268
48160,2.0,214
48160,2.0,217
48256,0.0,172
48552,4.0,298
49096,3.0,359
49336,1.0,180
49640,0.0,185
50096,2.0,230
50240,3.0,275
50280,3.0,286
50456,2.0,238
50464,4.0,288
51024,2.0,211
51520,0.0,132
51688,1.0,176
51800,1.0,168
51888,5.0,349
51936,4.0,287
52192,2.0,244
52200,2.0,263
52728,1.0,213
52880,0.0,149
53296,0.0,170
53352,0.0,145
53560,1.0,170
53664,2.0,222
53664,2.0,233
53760,0.0,129
54512,2.0,204
54536,5.0,377
54848,1.0,187
54856,0.0,149
54904,0.0,155
55080,1.0,165
55080,0.0,190
55352,3.0,257
55888,0.0,130
55976,0.0,140
56008,1.0,184
56136,1.0,203
56288,0.0,151
56392,0.0,130
57088,4.0,273
57160,3.0,260
57192,0.0,152
57520,0.0,141
57792,2.0,223
57864,1.0,197
57872,2.0,217
58520,4.0,329
58944,2.0,232
58952,2.0,224
59248,2.0,216
59360,2.0,271
59448,2.0,207
59920,3.0,257
60280,3.0,301
60336,1.0,227
60344,1.0,174
60520,0.0,134
60720,1.0,222
61048,0.0,141
61456,3.0,276
61528,1.0,156
61640,0.0,140
62144,2.0,225
62152,4.0,349
62176,0.0,141
62448,3.0,264
62560,3.0,230
63208,2.0,219
63416,2.0,236
64096,2.0,244
64192,3.0,319
64552,0.0,168
64584,4.0,304
64616,2.0,257
64816,2.0,296
64928,4.0,344
65152,2.0,217
65320,0.0,153
66112,3.0,240
66456,2.0,234
66464,2.0,231
66784,3.0,279
67016,2.0,233
67352,4.0,317
67360,0.0,156
67360,3.0,255
67368,3.0,305
68048,1.0,199
68048,0.0,129
68200,2.0,217
68424,0.0,134
68664,0.0,163
68960,2.0,200
69752,2.0,213
69760,5.0,372
69912,2.0,233
69928,2.0,320
70248,1.0,228
70304,3.0,263
70968,2.0,251
71488,4.0,353
71912,2.0,248
72152,2.0,238
72168,2.0,233
72264,3.0,314
72352,3.0,305
72384,4.0,328
72712,2.0,218
73488,1.0,165
73520,0.0,142
73592,0.0,180
73840,3.0,294
73880,2.0,202
74504,3.0,269
74616,4.0,338
74656,0.0,133
74736,0.0,156
75200,0.0,165
75304,4.0,324
75448,1.0,241
75880,0.0,172
76000,2.0,270
76416,0.0,220
76656,3.0,255
76712,0.0,176
76712,0.0,158
77112,0.0,154
77400,4.0,333
77728,4.0,316
77736,2.0,217
78392,2.0,247
78456,2.0,225
78816,2.0,213
78912,0.0,148
78976,2.0,283
79112,2.0,300
79888,3.0,311
