timesteps,reward,episode_length
1040,0.0,130
1296,1.0,162
1352,1.0,169
1616,2.0,202
1640,2.0,205
1720,2.0,215
1792,2.0,224
2432,1.0,174
2688,4.0,336
2704,0.0,136
2768,1.0,184
2784,0.0,143
3584,2.0,224
3592,2.0,234
3704,0.0,125
3728,0.0,130
3872,0.0,136
4048,1.0,160
4128,2.0,212
4240,6.0,361
4984,1.0,175
5208,0.0,145
5240,1.0,189
5328,1.0,182
5376,0.0,142
5432,2.0,230
5448,2.0,218
5560,1.0,179
5984,0.0,125
6432,0.0,149
6512,0.0,135
6688,1.0,185
6832,1.0,173
7232,2.0,232
7384,3.0,257
7432,3.0,234
7552,0.0,140
7672,2.0,211
7728,0.0,130
7736,0.0,153
8328,0.0,137
8464,0.0,135
8856,0.0,141
9008,1.0,167
9104,3.0,284
9104,2.0,209
9328,0.0,125
9352,2.0,225
9440,2.0,213
9784,1.0,165
10296,0.0,161
10384,1.0,160
10400,2.0,193
10760,0.0,179
10816,1.0,172
10936,2.0,198
11336,0.0,194
12072,2.0,209
12120,2.0,217
12176,0.0,155
12224,4.0,390
12616,3.0,232
13048,2.0,344
13120,2.0,223
13672,0.0,187
14120,0.0,256
14168,0.0,194
14792,4.0,321
14952,6.0,517
15248,3.0,275
15264,3.0,393
15888,2.0,346
16216,2.0,318
16696,0.0,316
16824,2.0,338
17104,2.0,289
17112,1.0,270
17160,1.0,239
17368,0.0,263
17560,1.0,168
18048,2.0,270
18160,0.0,183
18888,0.0,166
19144,1.0,222
19192,3.0,296
19360,1.0,281
20008,2.0,363
21096,0.0,238
21304,0.0,162
21456,2.0,262
21512,1.0,296
21512,0.0,433
21752,3.0,574
22112,2.0,403
22728,4.0,571
23088,0.0,223
23136,0.0,203
23552,4.0,307
23688,2.0,272
23760,0.0,206
23784,0.0,254
24032,4.0,322
24432,0.0,168
24456,0.0,165
24928,0.0,143
25248,2.0,315
25448,1.0,237
25512,0.0,185
25632,0.0,234
25992,0.0,195
26240,1.0,319
27016,3.0,320
27296,0.0,132
27464,1.0,277
27504,1.0,249
27800,1.0,294
27984,5.0,382
28072,0.0,305
28616,1.0,165
29032,1.0,252
29088,0.0,198
29104,1.0,163
29568,1.0,198
29896,12.0,488
29904,4.0,305
30104,3.0,254
30696,1.0,199
31320,0.0,178
31336,1.0,221
31432,2.0,300
31512,0.0,201
31544,3.0,366
31744,1.0,332
31920,0.0,153
32640,0.0,163
32808,1.0,172
32976,0.0,179
33256,3.0,394
33328,1.0,198
33368,1.0,256
33416,0.0,187
34072,2.0,320
34112,1.0,163
34808,0.0,229
35208,0.0,321
35352,0.0,248
35384,1.0,246
35448,0.0,172
35872,4.0,327
35880,2.0,319
36192,1.0,173
36616,3.0,313
36664,0.0,160
36888,1.0,210
37520,1.0,206
37528,1.0,167
37536,2.0,207
37600,1.0,281
38000,2.0,319
38136,0.0,184
39064,1.0,272
39064,0.0,193
39184,1.0,198
39376,1.0,155
39616,2.0,202
40072,4.0,317
40888,2.0,228
40984,2.0,201
41000,1.0,242
41040,8.0,553
41040,3.0,439
41200,0.0,141
41280,1.0,208
42104,1.0,365
42352,0.0,144
42456,0.0,196
42824,0.0,223
42832,2.0,194
43168,2.0,266
43920,2.0,367
44288,2.0,411
44352,3.0,250
44392,3.0,242
44504,4.0,300
44616,1.0,181
44616,1.0,224
45072,0.0,144
45312,4.0,310
45896,2.0,193
45992,0.0,200
46272,2.0,248
46320,1.0,213
46520,3.0,238
47560,0.0,161
47784,4.0,410
47888,2.0,196
47896,3.0,323
48176,2.0,285
48296,5.0,403
48336,1.0,293
49032,2.0,314
49208,2.0,206
49792,2.0,251
49824,2.0,191
49848,2.0,189
49848,2.0,245
49864,1.0,211
50192,0.0,123
50792,3.0,362
50952,0.0,138
51368,1.0,197
51584,2.0,215
51616,2.0,323
51720,3.0,237
51720,3.0,234
52000,2.0,226
52464,2.0,209
52712,1.0,220
53104,1.0,173
53160,1.0,224
53736,0.0,159
53832,4.0,281
53968,3.0,294
54288,2.0,286
55144,6.0,428
55448,5.0,342
55528,2.0,296
55664,2.0,241
55840,1.0,234
56304,2.0,252
56440,3.0,326
57072,0.0,154
57144,2.0,202
57272,3.0,266
57288,4.0,523
57664,3.0,250
57960,1.0,207
58192,4.0,343
58424,1.0,169
58984,3.0,318
59128,3.0,232
59288,2.0,268
59640,2.0,181
59672,2.0,251
59832,1.0,234
60328,3.0,238
60688,5.0,425
60968,1.0,230
60984,3.0,250
61072,2.0,223
61520,3.0,231
61680,2.0,231
61984,2.0,207
62120,4.0,310
62264,1.0,162
62304,0.0,165
62832,1.0,220
63312,0.0,149
63456,3.0,346
63464,2.0,223
63488,1.0,153
63528,0.0,193
63544,2.0,253
64592,0.0,160
64832,0.0,163
64856,3.0,253
65064,3.0,345
65128,1.0,208
65208,1.0,208
65224,1.0,221
65880,2.0,299
66120,0.0,158
66368,2.0,192
66520,2.0,241
66560,2.0,187
66848,0.0,215
66944,2.0,215
67296,3.0,261
67648,1.0,221
67936,0.0,177
67976,2.0,201
68584,0.0,205
68832,4.0,284
68832,0.0,148
68864,0.0,196
69280,3.0,304
69544,1.0,196
69616,0.0,210
70408,2.0,228
70568,1.0,213
70568,1.0,217
70616,5.0,562
70920,2.0,205
71136,1.0,199
71152,2.0,290
71752,2.0,267
72432,1.0,233
72568,3.0,250
72576,3.0,245
72632,2.0,214
73440,4.0,286
74112,3.0,463
74368,5.0,404
74424,5.0,334
74624,3.0,257
75592,3.0,269
75696,4.0,390
75696,9.0,383
75856,2.0,218
76456,3.0,229
76576,4.0,518
76792,4.0,303
77176,5.0,344
77888,7.0,254
77896,3.0,288
77928,1.0,279
77944,2.0,281
78136,2.0,195
78528,7.0,259
78816,3.0,253
79144,1.0,152
79224,3.0,256
79592,3.0,212
79832,2.0,236
79960,1.0,179
80104,7.0,246
80168,3.0,285
80320,2.0,188
80728,2.0,198
81168,1.0,197
81168,0.0,167
81216,7.0,249
81744,2.0,197
82032,3.0,241
82272,4.0,289
82584,4.0,283
83080,2.0,239
83152,3.0,242
83208,0.0,147
83224,2.0,257
83320,3.0,324
83776,2.0,254
84488,3.0,277
84688,1.0,201
84712,2.0,195
84760,3.0,272
84944,2.0,217
85072,2.0,219
85424,2.0,275
85576,2.0,225
86440,2.0,210
86440,2.0,216
86440,1.0,187
86624,2.0,242
86888,2.0,227
87088,2.0,208
87760,5.0,409
87800,4.0,278
87976,1.0,192
87992,0.0,138
88064,2.0,203
88432,2.0,226
88456,1.0,171
88864,2.0,303
89936,2.0,245
89984,2.0,273
90136,5.0,297
90232,3.0,280
90416,11.0,294
90656,3.0,224
91256,5.0,350
91560,3.0,391
91648,2.0,189
91784,2.0,231
92104,1.0,211
92520,3.0,233
92648,0.0,136
92896,4.0,364
93000,1.0,169
93256,3.0,250
93448,1.0,208
94080,1.0,195
94088,1.0,180
94136,3.0,254
94744,2.0,231
94960,1.0,189
94992,7.0,595
95040,2.0,255
95576,1.0,187
95592,1.0,182
95664,4.0,301
96016,1.0,241
96328,1.0,198
96760,2.0,215
97136,3.0,268
97352,3.0,220
97352,4.0,299
97776,4.0,264
97800,2.0,184
97896,2.0,290
98056,4.0,255
98360,0.0,153
98592,2.0,229
98784,1.0,179
99032,0.0,154
99256,1.0,238
99464,2.0,211
99896,3.0,230
