timesteps,reward,episode_length
1032,0.0,129
1064,0.0,133
1128,0.0,141
1312,0.0,164
1328,1.0,166
1712,2.0,214
1832,2.0,229
1888,3.0,236
2072,0.0,130
2144,0.0,127
3008,2.0,212
3032,2.0,213
3048,0.0,152
3208,0.0,133
3240,1.0,169
3392,3.0,291
3504,1.0,179
3752,3.0,255
4096,0.0,136
4480,0.0,136
4600,1.0,170
4664,2.0,204
4744,2.0,212
4904,2.0,212
5064,1.0,164
5328,2.0,228
5536,0.0,132
5928,1.0,166
5936,0.0,149
6440,2.0,222
6560,0.0,128
6680,1.0,169
6808,3.0,238
6912,5.0,352
6968,3.0,238
7072,0.0,143
7136,0.0,150
7840,1.0,160
7896,1.0,152
7944,0.0,129
8080,2.0,205
8608,1.0,184
8648,2.0,210
8720,2.0,206
8864,3.0,257
9008,0.0,139
9120,0.0,130
9288,1.0,181
10176,3.0,279
10224,0.0,138
10304,2.0,212
10432,2.0,214
10456,3.0,226
10664,2.0,225
10720,2.0,214
11312,3.0,253
11400,0.0,137
11552,0.0,166
11752,0.0,197
12376,3.0,240
12424,2.0,249
12432,0.0,140
12480,2.0,220
12544,3.0,235
13328,1.0,197
13568,2.0,252
13568,2.0,271
14120,1.0,197
14136,1.0,207
14568,2.0,274
15232,4.0,351
15280,4.0,356
16032,1.0,308
16248,0.0,266
16376,3.0,381
16552,1.0,302
16584,1.0,377
17336,3.0,346
17616,1.0,298
18056,2.0,347
18344,2.0,246
18888,0.0,330
19304,0.0,409
19368,1.0,254
20280,3.0,462
21016,0.0,425
21832,4.0,368
21896,4.0,316
21992,1.0,492
22192,1.0,705
22344,1.0,500
22384,3.0,385
24224,1.0,299
24928,2.0,367
25896,3.0,500
25936,1.0,707
26320,0.0,174
26640,5.0,537
26688,2.0,308
27800,3.0,677
28264,2.0,906
28384,3.0,774
28544,1.0,331
29336,2.0,377
29664,2.0,466
30136,2.0,431
30536,1.0,487
31152,2.0,361
31168,3.0,421
31224,4.0,335
31952,1.0,327
32008,2.0,453
32880,2.0,343
33720,4.0,507
35272,2.0,513
35320,3.0,512
35408,1.0,609
35624,2.0,459
35896,4.0,377
35936,3.0,277
36344,4.0,542
36392,5.0,655
36992,0.0,137
37536,2.0,266
37808,4.0,317
37848,1.0,316
38416,3.0,310
38576,2.0,279
39000,3.0,326
39064,3.0,430
39640,1.0,331
40040,0.0,203
40296,1.0,345
41792,2.0,402
41792,2.0,219
42032,2.0,523
42144,0.0,231
42320,3.0,564
42936,5.0,492
43128,4.0,508
43392,1.0,170
43672,0.0,169
44040,2.0,237
44296,0.0,313
44696,0.0,363
44808,2.0,210
45312,1.0,709
45536,1.0,233
45576,1.0,273
45768,0.0,216
46992,2.0,210
47544,2.0,342
47768,4.0,434
48504,3.0,371
48712,0.0,215
48880,2.0,743
49264,1.0,187
49264,4.0,461
49408,3.0,589
49408,0.0,455
50568,0.0,145
50568,0.0,232
50600,1.0,262
51664,2.0,300
51880,2.0,327
52296,2.0,216
52304,1.0,595
52304,0.0,362
52344,6.0,433
52480,3.0,239
53576,2.0,239
53656,3.0,382
53896,0.0,200
54312,3.0,304
54480,3.0,267
54496,2.0,274
54696,1.0,277
55064,4.0,345
55504,2.0,241
55712,1.0,175
55960,3.0,258
56272,2.0,224
56376,4.0,340
56640,2.0,268
56736,1.0,209
56800,1.0,263
57000,0.0,130
57680,2.0,272
58128,0.0,186
58160,3.0,306
58176,3.0,238
58616,3.0,235
58760,4.0,298
58792,2.0,249
59480,2.0,225
59800,2.0,350
60008,3.0,229
60304,3.0,272
60472,1.0,210
60704,0.0,243
61072,0.0,159
61072,2.0,307
61736,3.0,282
62128,2.0,265
62344,2.0,255
62392,1.0,211
62536,2.0,258
62632,5.0,559
62792,2.0,215
63376,2.0,288
63688,0.0,244
64200,0.0,196
64312,1.0,240
64480,1.0,211
64504,3.0,297
64568,3.0,278
65472,3.0,262
66120,1.0,304
66120,0.0,240
66456,0.0,268
66640,2.0,259
67016,0.0,317
67016,0.0,193
68104,0.0,248
68296,1.0,474
68488,0.0,254
68952,1.0,289
69720,8.0,898
69768,3.0,456
69808,3.0,349
69864,2.0,356
70304,0.0,275
70432,3.0,243
71288,1.0,292
71976,1.0,271
72264,2.0,496
72408,4.0,318
72472,1.0,344
72488,2.0,340
72920,4.0,327
73144,1.0,339
73352,0.0,258
74216,1.0,280
74408,2.0,240
74768,2.0,313
74920,2.0,250
74960,1.0,201
75304,3.0,362
75584,4.0,389
76136,2.0,374
76536,1.0,266
76888,2.0,265
77088,0.0,188
77096,2.0,224
77608,4.0,336
77688,2.0,434
78472,3.0,439
78504,3.0,296
78696,1.0,200
79256,2.0,206
79576,2.0,336
79640,1.0,244
79816,6.0,410
80296,3.0,224
80672,6.0,448
81336,1.0,358
81416,0.0,230
81720,3.0,308
82576,3.0,485
82784,2.0,264
82880,4.0,323
82880,2.0,383
83024,5.0,423
83432,0.0,214
83648,2.0,289
84032,2.0,327
84368,0.0,186
84736,2.0,244
84976,2.0,300
85224,1.0,224
85360,3.0,292
85552,0.0,190
86472,3.0,263
87176,1.0,203
87264,4.0,316
87288,1.0,455
87464,1.0,311
87848,1.0,328
87944,3.0,323
88224,1.0,219
88784,3.0,738
88976,1.0,211
89344,2.0,271
89352,3.0,236
89856,4.0,324
89952,2.0,263
90128,0.0,238
90504,0.0,145
90504,3.0,320
90504,1.0,215
90896,0.0,130
91368,1.0,177
91496,1.0,315
91552,4.0,275
91600,1.0,184
92368,1.0,233
92584,0.0,260
93016,1.0,265
93024,1.0,315
93712,0.0,168
93792,2.0,287
93928,1.0,291
94232,1.0,206
94416,3.0,358
94552,2.0,398
95368,1.0,207
95368,0.0,180
95528,1.0,313
95968,2.0,272
96160,3.0,241
96592,1.0,255
96976,2.0,201
96992,4.0,497
97224,1.0,157
97360,2.0,249
97360,4.0,368
97544,1.0,173
97560,2.0,254
98568,0.0,199
98600,1.0,251
99304,1.0,243
99368,2.0,268
99496,1.0,313
99528,2.0,246
99888,0.0,165
99888,2.0,293
