timesteps,reward,episode_length
1016,0.0,127
1032,0.0,129
1072,0.0,134
1128,0.0,141
1376,1.0,172
1400,1.0,175
1408,1.0,176
2232,4.0,279
2472,0.0,133
2488,1.0,184
2560,1.0,179
2672,2.0,205
2864,1.0,183
3096,3.0,253
3344,0.0,139
3408,3.0,254
3536,0.0,133
3624,0.0,142
4072,1.0,175
4160,0.0,133
4208,2.0,206
4584,0.0,155
4608,0.0,134
4696,2.0,229
4800,1.0,174
5008,1.0,173
5248,0.0,130
5536,1.0,172
5688,0.0,138
5728,0.0,129
5888,2.0,227
6056,1.0,181
6464,2.0,208
6688,2.0,210
6728,2.0,185
6808,0.0,135
6984,0.0,137
7032,1.0,187
7208,1.0,190
7792,0.0,133
7800,0.0,139
7856,1.0,174
7976,3.0,240
8256,1.0,153
8256,1.0,181
8472,1.0,186
8912,0.0,140
9024,2.0,227
9080,0.0,138
9120,1.0,158
9152,1.0,169
9328,0.0,134
9608,0.0,142
9968,2.0,214
10136,0.0,139
10216,0.0,137
10776,2.0,233
10792,2.0,205
11320,3.0,249
11424,1.0,227
11464,3.0,298
11512,1.0,193
11672,1.0,192
11904,1.0,211
12312,0.0,190
12648,2.0,234
13112,0.0,151
13512,1.0,250
13784,2.0,290
13904,3.0,310
13984,1.0,209
14216,0.0,138
14248,4.0,366
14256,4.0,323
15344,2.0,337
15496,0.0,160
15760,4.0,281
16264,2.0,285
16584,2.0,350
16792,1.0,317
16936,3.0,379
17000,0.0,344
17040,2.0,212
17440,1.0,243
17800,3.0,255
17864,1.0,200
18152,0.0,152
18216,1.0,204
18448,0.0,176
19048,4.0,282
19688,1.0,192
19792,3.0,294
19880,1.0,179
19880,3.0,260
19912,4.0,364
19944,2.0,216
20352,4.0,311
20648,1.0,200
21160,1.0,171
21616,1.0,217
21808,3.0,265
21880,0.0,154
22120,3.0,280
22152,2.0,225
22720,5.0,351
22792,3.0,356
22976,2.0,227
23464,2.0,207
23552,2.0,242
23752,2.0,234
23944,2.0,224
24232,3.0,264
24424,1.0,181
24712,3.0,249
25040,1.0,186
25072,1.0,165
25160,3.0,296
25264,3.0,225
25424,1.0,185
25480,0.0,132
26456,2.0,218
26848,2.0,226
27008,2.0,218
27056,3.0,248
27056,2.0,237
27080,5.0,356
27736,4.0,282
27952,4.0,316
28552,1.0,193
28560,2.0,214
28744,2.0,211
28744,2.0,211
28744,2.0,208
28880,4.0,303
29000,0.0,158
30040,0.0,162
30232,2.0,209
30248,3.0,287
30480,2.0,217
30992,3.0,281
31176,3.0,272
31200,5.0,331
31408,4.0,316
31696,2.0,207
32072,2.0,199
32488,3.0,282
32680,2.0,211
32824,4.0,322
33168,3.0,246
33280,2.0,198
33352,2.0,243
33384,3.0,276
33832,2.0,220
34288,2.0,225
34400,1.0,197
34824,1.0,180
35040,3.0,234
35040,2.0,220
35120,0.0,161
35128,2.0,222
35224,5.0,318
35536,0.0,156
35936,1.0,192
36504,1.0,172
36544,2.0,188
36672,2.0,204
36920,2.0,225
36944,3.0,265
37096,2.0,234
37256,2.0,215
38088,1.0,193
38312,2.0,205
38352,2.0,231
38424,4.0,311
38776,1.0,190
38792,2.0,234
39048,3.0,263
39824,4.0,341
40016,2.0,199
40104,3.0,252
40416,2.0,205
40496,3.0,273
40808,0.0,123
40848,4.0,312
41200,4.0,301
41576,1.0,195
41800,2.0,212
41992,0.0,143
41992,0.0,148
42248,4.0,400
42624,4.0,276
43104,3.0,326
43272,0.0,128
43272,3.0,259
43432,3.0,232
43440,1.0,181
43664,0.0,130
43680,3.0,235
44136,3.0,268
44712,2.0,201
45120,1.0,180
45160,2.0,216
45176,2.0,238
45192,2.0,219
45368,3.0,262
45440,2.0,222
46160,2.0,253
46280,0.0,136
46408,2.0,212
46664,0.0,153
46912,2.0,217
47216,3.0,262
47304,3.0,268
47328,3.0,245
47432,0.0,144
47992,1.0,198
48184,3.0,253
48328,0.0,177
48808,3.0,268
48840,0.0,176
49128,2.0,225
49128,2.0,228
49544,3.0,291
49936,2.0,219
50152,3.0,270
50160,2.0,229
50448,1.0,201
50672,2.0,233
50840,2.0,214
51224,3.0,262
51464,0.0,164
51592,3.0,256
51848,0.0,126
52024,1.0,197
52264,1.0,199
52464,4.0,288
52880,6.0,368
53216,2.0,219
53776,4.0,319
53808,3.0,277
53968,2.0,265
54136,1.0,209
54152,2.0,266
54152,2.0,236
54784,2.0,238
55464,1.0,166
55592,2.0,203
55632,2.0,232
55816,3.0,251
56240,3.0,261
56656,2.0,234
56936,5.0,348
57480,9.0,533
57696,2.0,235
57816,4.0,273
57896,1.0,288
58048,4.0,323
59008,3.0,259
59032,4.0,297
59200,2.0,215
59696,2.0,225
59696,6.0,432
59816,3.0,265
60056,4.0,280
60552,1.0,169
60600,4.0,319
61000,0.0,148
61000,2.0,246
61224,0.0,146
61384,4.0,297
61864,0.0,158
61896,3.0,275
61904,3.0,276
62144,1.0,199
62632,2.0,204
62640,2.0,205
63336,3.0,264
63352,2.0,246
63560,2.0,212
63728,2.0,228
63816,0.0,147
64368,4.0,309
64680,3.0,256
64792,4.0,331
64968,2.0,202
65048,1.0,186
65184,2.0,231
65480,1.0,208
65704,3.0,247
66312,2.0,243
66896,2.0,231
66896,3.0,277
67160,3.0,296
67176,3.0,276
67264,2.0,223
67280,4.0,262
67400,1.0,212
67496,0.0,148
68392,1.0,187
68392,0.0,141
68768,2.0,234
69152,2.0,249
69184,2.0,251
69192,2.0,239
69416,2.0,240
69704,2.0,288
70224,0.0,182
70688,3.0,287
70824,1.0,204
71176,5.0,348
71208,2.0,224
71456,3.0,288
71680,4.0,312
72008,3.0,288
72200,2.0,247
72680,0.0,153
72880,3.0,257
73200,3.0,249
73296,4.0,326
73352,0.0,144
73424,4.0,281
73512,2.0,229
73736,1.0,216
74504,2.0,203
74760,0.0,176
74768,0.0,168
74768,1.0,196
74768,3.0,261
75720,3.0,276
75720,0.0,152
75920,3.0,273
76112,4.0,352
76840,3.0,259
76840,3.0,259
76920,3.0,269
77008,3.0,281
77480,2.0,220
77832,3.0,264
78216,0.0,172
78440,3.0,291
78440,3.0,315
78464,2.0,203
78664,2.0,207
79016,3.0,262
79080,0.0,156
79504,0.0,133
79656,3.0,272
80056,2.0,199
80056,2.0,202
80264,2.0,200
80392,3.0,272
80936,2.0,240
81128,3.0,256
81160,2.0,207
81448,0.0,174
81744,1.0,185
81992,2.0,242
82136,4.0,310
82216,0.0,160
82408,0.0,156
82584,3.0,274
82976,1.0,191
83544,0.0,142
83560,3.0,304
83752,0.0,146
83960,3.0,277
83976,2.0,220
84232,3.0,280
84424,3.0,286
84816,2.0,230
84992,1.0,181
85512,2.0,220
85552,1.0,165
85592,3.0,254
85904,2.0,241
86184,3.0,278
86304,3.0,235
86824,3.0,251
86832,2.0,230
87120,2.0,201
87536,1.0,169
87848,3.0,287
87976,2.0,259
88400,7.0,351
88648,2.0,227
88648,3.0,293
88904,2.0,260
89288,3.0,271
89696,2.0,270
89888,2.0,255
89904,2.0,241
90312,2.0,208
90312,2.0,208
90504,2.0,263
90704,0.0,126
90792,1.0,188
91264,4.0,295
91496,2.0,201
91576,2.0,209
92328,3.0,252
92496,2.0,224
92624,3.0,265
92696,4.0,298
92992,1.0,177
93008,3.0,277
93712,4.0,306
93968,0.0,159
93992,4.0,312
94168,2.0,230
94744,3.0,265
94760,3.0,283
94768,2.0,222
94960,2.0,244
95584,2.0,234
96080,0.0,164
96136,3.0,271
96176,3.0,251
96360,0.0,202
96368,4.0,297
96608,2.0,206
96752,2.0,249
97792,3.0,276
97960,2.0,223
97960,2.0,228
97992,0.0,203
98192,1.0,180
98240,3.0,235
98896,3.0,286
98912,5.0,354
99624,1.0,208
99912,2.0,240
