timesteps,reward,episode_length
1072,0.0,134
1088,0.0,136
1128,0.0,141
1200,1.0,150
1248,1.0,156
1288,1.0,161
1416,1.0,177
1648,2.0,206
2176,0.0,136
2208,0.0,135
2248,0.0,131
2392,0.0,143
2552,0.0,142
2776,0.0,141
2880,3.0,226
3200,0.0,124
3376,0.0,150
3712,1.0,183
3832,4.0,318
4232,2.0,210
4448,2.0,209
4512,3.0,265
4520,1.0,205
4856,1.0,185
4904,2.0,213
5144,1.0,179
5312,0.0,135
5560,2.0,216
5640,0.0,140
5984,0.0,135
6080,0.0,153
6216,2.0,221
6312,0.0,125
6528,1.0,173
6536,3.0,253
7072,0.0,136
7536,2.0,237
7632,1.0,177
7680,3.0,265
7984,1.0,181
8304,4.0,278
8464,1.0,174
8488,3.0,272
8944,1.0,176
9264,4.0,342
9424,2.0,218
9432,1.0,181
9888,1.0,175
9920,1.0,182
10040,2.0,217
11032,3.0,261
11304,9.0,459
11472,3.0,276
11528,1.0,201
12296,4.0,359
12680,3.0,349
13032,5.0,450
13344,2.0,289
13368,2.0,258
13960,2.0,304
14048,3.0,501
14120,3.0,331
14864,2.0,321
15272,4.0,324
15352,1.0,251
15416,1.0,256
16208,1.0,281
16872,5.0,344
17440,5.0,551
18280,2.0,366
18440,1.0,549
18624,7.0,419
18744,6.0,485
19224,3.0,476
19552,3.0,335
19560,4.0,419
20184,3.0,238
20688,0.0,281
20784,8.0,418
21552,3.0,351
21688,4.0,383
21920,0.0,217
22024,5.0,308
22832,2.0,410
22904,1.0,265
22984,0.0,179
23296,6.0,509
23336,2.0,331
23624,2.0,213
24320,2.0,329
24424,2.0,300
24424,0.0,180
24728,0.0,179
24880,3.0,256
25000,2.0,262
25392,2.0,257
25912,1.0,199
26456,3.0,254
26536,3.0,264
27016,2.0,424
27040,4.0,289
27168,3.0,286
27664,2.0,219
27912,3.0,364
28040,9.0,331
28560,2.0,253
28976,4.0,315
29248,2.0,260
29288,3.0,284
29352,0.0,180
29576,2.0,239
29624,4.0,323
30408,0.0,179
30576,0.0,153
30768,2.0,276
31216,2.0,397
31328,2.0,255
31424,3.0,231
31528,0.0,140
31528,1.0,238
31952,4.0,338
32696,1.0,185
32744,0.0,177
33096,2.0,209
33136,4.0,320
33360,3.0,324
33640,3.0,264
33832,3.0,288
33976,2.0,253
34688,1.0,199
34720,1.0,198
34728,2.0,254
35296,2.0,242
35312,4.0,321
36224,3.0,281
36232,3.0,324
36264,4.0,304
36744,0.0,179
36752,0.0,182
36848,3.0,270
37088,2.0,296
37088,2.0,295
37768,0.0,193
38472,2.0,216
38544,3.0,289
38584,3.0,290
38824,0.0,217
38968,2.0,277
39088,2.0,280
39888,0.0,177
39920,3.0,354
40288,2.0,213
40328,0.0,170
40656,3.0,361
40720,2.0,237
40832,0.0,218
41144,4.0,325
41512,0.0,153
41688,1.0,225
42088,2.0,271
42112,2.0,223
42536,2.0,235
42544,2.0,228
43120,2.0,247
43536,4.0,338
43736,2.0,278
44136,4.0,306
44240,0.0,140
44448,3.0,292
44616,3.0,316
44728,3.0,274
45040,0.0,163
45096,4.0,319
45944,1.0,226
46056,4.0,315
46192,2.0,244
46664,2.0,242
46848,2.0,300
46864,2.0,228
47104,4.0,311
47440,0.0,293
48144,2.0,244
48368,3.0,289
48424,2.0,310
48544,0.0,210
48936,0.0,187
49240,4.0,322
49352,0.0,281
49592,4.0,343
50080,0.0,242
50344,2.0,247
50704,1.0,285
50744,1.0,275
50920,0.0,166
51088,1.0,217
51328,2.0,261
51744,2.0,351
51976,0.0,159
51992,1.0,239
52552,2.0,276
52584,1.0,208
52752,0.0,178
52840,2.0,262
53216,3.0,266
53640,2.0,208
54216,3.0,278
54240,3.0,312
54528,2.0,243
54864,3.0,289
54976,3.0,267
55048,3.0,287
55280,3.0,258
55464,2.0,228
55688,0.0,181
56624,4.0,301
56784,2.0,217
56816,2.0,230
57256,2.0,247
57400,4.0,317
57544,2.0,377
57624,2.0,270
58176,3.0,311
58624,0.0,153
58680,2.0,233
59080,2.0,287
59080,3.0,307
59208,0.0,208
59320,0.0,212
59888,4.0,329
60504,0.0,228
60616,2.0,249
60912,0.0,199
61000,3.0,353
61192,3.0,264
61512,3.0,288
61544,0.0,207
61568,4.0,311
62104,1.0,200
62480,2.0,233
62824,2.0,228
62824,2.0,239
63528,2.0,245
63720,2.0,316
63832,0.0,169
63832,2.0,286
64232,2.0,340
64352,2.0,281
65448,2.0,240
65760,2.0,367
66112,0.0,220
66152,2.0,290
66752,2.0,491
67056,0.0,201
67352,4.0,440
67536,1.0,477
67856,0.0,218
68448,3.0,336
68784,4.0,569
69032,3.0,360
69288,2.0,219
69648,4.0,362
69864,2.0,251
70200,4.0,356
70200,3.0,393
70888,3.0,305
71200,0.0,167
71304,3.0,284
71560,3.0,284
