timesteps,reward,episode_length
1096,0.0,137
1168,0.0,146
1200,0.0,150
1312,1.0,164
1352,1.0,169
1416,1.0,177
1576,2.0,197
1904,3.0,238
2336,0.0,155
2432,0.0,127
2448,0.0,156
2616,0.0,130
2624,1.0,164
2872,1.0,190
3184,3.0,252
3384,0.0,131
3744,0.0,140
3792,2.0,236
4176,2.0,218
4296,2.0,231
4312,2.0,212
4464,0.0,135
4840,2.0,246
5240,3.0,257
5336,2.0,193
5440,0.0,143
5600,1.0,178
5712,1.0,156
6112,1.0,159
6224,4.0,310
6304,0.0,133
6544,3.0,279
6808,1.0,184
6856,1.0,177
6896,1.0,162
7376,0.0,144
7384,1.0,159
7736,1.0,179
8000,1.0,182
8024,0.0,141
8432,0.0,131
8456,0.0,135
8480,2.0,209
8672,5.0,370
8696,2.0,230
8808,0.0,134
9064,0.0,130
9424,1.0,178
9680,1.0,153
9720,0.0,128
9736,1.0,163
9928,0.0,140
10024,1.0,169
10152,2.0,209
10296,1.0,154
10776,0.0,132
11304,2.0,235
11408,0.0,139
11440,2.0,213
11496,2.0,227
11544,1.0,190
11632,2.0,213
12440,2.0,208
12568,4.0,302
12568,0.0,134
12984,2.0,210
13064,1.0,203
13296,2.0,208
13888,4.0,310
13904,3.0,295
14048,1.0,185
14264,2.0,212
14392,2.0,244
14792,2.0,226
15200,4.0,267
15248,2.0,244
15944,3.0,257
16024,3.0,265
16032,2.0,221
16136,3.0,261
16464,3.0,259
16720,2.0,241
16776,1.0,197
17024,0.0,135
17032,2.0,223
17512,0.0,131
17760,2.0,216
17800,1.0,208
18048,3.0,253
18400,2.0,210
18944,0.0,143
19016,2.0,249
19400,2.0,236
19752,5.0,372
19824,3.0,258
19912,5.0,360
19944,2.0,237
20360,1.0,177
20640,2.0,203
20688,3.0,286
21440,2.0,211
21712,4.0,289
22056,2.0,279
22120,3.0,272
22320,2.0,245
22376,4.0,308
22432,1.0,224
22968,3.0,285
23392,2.0,210
23600,1.0,193
23928,1.0,194
24064,1.0,218
24144,5.0,338
24216,2.0,223
24616,3.0,312
25176,3.0,276
25568,2.0,246
25760,2.0,212
25760,1.0,202
25952,3.0,253
25960,2.0,218
26008,4.0,327
26272,1.0,207
27408,1.0,175
27424,2.0,208
27720,1.0,221
27912,2.0,205
27944,3.0,273
28032,3.0,259
29200,3.0,503
29480,3.0,259
29704,3.0,517
30056,2.0,329
31176,1.0,404
31864,3.0,518
32336,2.0,392
32760,5.0,382
33456,1.0,199
33768,0.0,536
34168,3.0,767
35048,1.0,286
35368,5.0,932
35872,4.0,302
36184,1.0,766
36296,0.0,266
36904,4.0,716
37200,4.0,429
37256,1.0,236
37720,2.0,334
37856,2.0,690
38024,1.0,216
38224,2.0,294
39240,2.0,255
40304,0.0,381
40424,3.0,530
40968,3.0,368
41048,3.0,416
41272,7.0,546
41376,7.0,440
41408,5.0,398
43112,4.0,351
43624,1.0,322
43624,0.0,400
44048,2.0,330
44864,2.0,487
44952,0.0,230
45032,4.0,724
46336,2.0,339
46360,0.0,623
47752,1.0,361
47840,6.0,821
48184,1.0,394
48376,5.0,541
48528,1.0,274
48920,0.0,320
49704,1.0,244
50256,1.0,167
50768,2.0,893
51336,1.0,351
51368,1.0,374
51816,0.0,454
51848,1.0,268
52296,4.0,918
53048,2.0,349
53616,1.0,221
54536,0.0,471
54824,3.0,316
55112,1.0,468
55144,0.0,913
55288,3.0,494
55768,3.0,494
57184,1.0,237
57320,2.0,348
57360,3.0,468
58472,4.0,338
59272,1.0,516
60728,3.0,421
60984,4.0,770
61360,4.0,361
61560,5.0,530
61712,8.0,566
61896,3.0,1106
62960,2.0,279
63136,1.0,222
63616,4.0,1063
64136,1.0,394
64504,7.0,654
64792,0.0,207
65176,5.0,433
65920,5.0,503
66184,1.0,403
66184,3.0,321
66448,2.0,289
67184,3.0,335
67656,0.0,184
67880,2.0,245
68016,3.0,403
68160,2.0,247
68296,3.0,390
68304,11.0,843
69048,2.0,233
69544,2.0,236
69560,1.0,389
70600,0.0,288
70808,3.0,313
70840,2.0,353
71120,2.0,259
71392,3.0,439
72808,3.0,406
72824,3.0,410
73168,1.0,321
73392,3.0,250
73544,3.0,342
73760,3.0,365
73976,7.0,727
75808,4.0,302
76040,4.0,404
76096,2.0,366
76408,3.0,448
76824,2.0,713
76928,3.0,369
77152,2.0,451
77688,5.0,491
78024,3.0,277
78696,1.0,332
78984,1.0,322
79088,2.0,374
79528,4.0,297
80280,2.0,282
80520,1.0,354
80896,1.0,226
81712,2.0,341
82200,1.0,240
82408,1.0,464
82688,5.0,733
83336,7.0,801
83888,1.0,545
83944,6.0,428
83952,4.0,382
83952,1.0,280
86088,2.0,460
87056,3.0,396
87088,3.0,393
87224,3.0,409
87256,3.0,413
87880,7.0,649
89584,1.0,213
89672,1.0,448
90424,0.0,400
90640,3.0,444
91208,3.0,519
91248,4.0,989
91480,6.0,1160
91712,5.0,557
92784,3.0,295
92952,3.0,421
93328,2.0,265
94144,5.0,438
95056,2.0,447
95160,2.0,489
95224,7.0,694
95712,2.0,500
97568,2.0,232
97664,5.0,440
97728,4.0,321
97800,4.0,343
98696,0.0,739
99192,3.0,496
99200,3.0,734
99416,6.0,808
