timesteps,reward,episode_length
1072,0.0,134
1080,0.0,135
1112,0.0,139
1512,2.0,189
1616,2.0,202
1640,2.0,205
1816,2.0,227
1928,2.0,241
2104,0.0,128
2696,0.0,135
2800,2.0,211
2808,1.0,162
3256,4.0,273
3264,1.0,167
3360,2.0,215
3680,2.0,233
3760,2.0,207
3888,0.0,136
3904,0.0,137
4296,0.0,130
4392,0.0,141
4488,0.0,141
4488,2.0,224
4992,0.0,136
5064,1.0,173
5536,2.0,206
5664,3.0,238
5760,1.0,159
6112,2.0,227
6224,2.0,217
6672,4.0,285
6728,1.0,208
6944,3.0,244
7296,1.0,192
7536,2.0,234
7560,3.0,253
7608,1.0,173
7704,0.0,129
8008,2.0,237
8112,1.0,173
8488,0.0,149
8832,3.0,236
9128,1.0,190
9232,1.0,212
9280,2.0,215
9312,2.0,201
9520,1.0,176
9704,1.0,152
9904,3.0,237
10664,1.0,179
10984,1.0,269
11208,1.0,260
11248,2.0,242
11320,1.0,225
11504,3.0,278
11680,2.0,247
12048,2.0,268
12512,0.0,158
12712,0.0,188
12824,2.0,230
13016,2.0,294
13112,2.0,224
13656,2.0,201
13760,3.0,282
13760,3.0,260
14112,0.0,125
14288,2.0,222
14936,4.0,278
15024,3.0,251
15264,2.0,201
15832,5.0,376
16056,3.0,287
16272,2.0,314
16432,1.0,268
16656,2.0,204
16688,2.0,322
17264,3.0,250
17296,3.0,295
17424,1.0,171
17432,0.0,125
17712,2.0,180
17744,3.0,239
18864,2.0,200
18896,2.0,200
18912,4.0,278
19336,2.0,199
19408,3.0,247
19624,4.0,275
19680,3.0,246
20288,7.0,454
20640,1.0,154
20840,2.0,243
21080,2.0,271
21648,2.0,289
21680,6.0,352
22000,4.0,297
22424,3.0,267
22584,5.0,363
22600,3.0,245
22960,3.0,235
23168,3.0,291
23512,3.0,229
23968,3.0,246
24264,5.0,327
24392,3.0,226
24848,4.0,281
24952,4.0,316
25104,2.0,199
25136,3.0,246
25256,0.0,124
25304,4.0,293
25776,3.0,226
26360,3.0,246
26744,1.0,205
27048,4.0,275
27112,3.0,226
27120,3.0,248
27256,3.0,250
27376,4.0,303
27632,3.0,232
28328,3.0,246
28696,2.0,198
28776,2.0,254
29016,3.0,246
29064,2.0,211
29224,3.0,246
29472,4.0,294
29704,2.0,259
29920,2.0,199
30280,2.0,198
30360,2.0,198
31048,3.0,248
31072,4.0,257
31304,3.0,260
31560,3.0,232
31656,4.0,273
32120,4.0,275
32528,4.0,281
32976,2.0,209
33024,3.0,247
33304,4.0,279
33456,7.0,387
33728,2.0,201
33864,4.0,276
34160,5.0,325
34216,2.0,211
34640,2.0,202
34896,2.0,199
35368,4.0,299
35368,2.0,205
35456,2.0,199
35808,2.0,199
36048,5.0,324
36304,4.0,268
36616,3.0,247
36872,0.0,133
36960,2.0,199
37144,4.0,281
37184,3.0,227
37280,1.0,154
37664,4.0,276
37672,1.0,171
